phase,task,workers,connections,run,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
main,cpu,8,64,2,212.13,300.85,14.04,339.5,299.73,305.23,311.73,330.22,12742,0,0,0,0,0
main,cpu,8,64,3,211.98,300.98,13.95,345.81,300.1,304.86,312.05,329.64,12736,0,0,0,0,0
main,cpu,8,64,4,212.09,300.89,14.12,342.74,300.11,305.09,312.2,330.06,12741,0,0,0,0,0
main,cpu,8,64,5,212.1,300.84,13.96,342.44,299.94,304.94,311.64,329.62,12740,0,0,0,0,0
main,cpu,12,8,1,190.6,41.93,13.31,107.11,38.16,48.91,57.92,84.8,11449,0,0,0,0,0
main,cpu,12,8,2,190.98,41.86,13.91,99.94,37.33,48.13,58.69,86.21,11465,0,0,0,0,0
main,cpu,12,8,3,190.28,42.02,14.1,101.15,37.58,48.75,58.88,86.79,11427,0,0,0,0,0
main,cpu,12,8,4,190.82,41.91,13.89,110.53,37.58,48.47,58.64,86.37,11460,0,0,0,0,0
main,cpu,12,8,5,190.66,41.95,13.93,100.32,37.55,48.63,59.24,86.68,11446,0,0,0,0,0
main,cpu,12,64,1,212.22,300.63,25.74,377.21,291.47,317.14,326.56,361.55,12753,0,0,0,0,0
main,cpu,12,64,2,212.23,300.67,26.2,382.86,294.56,317.33,330.09,363.69,12750,0,0,0,0,0
main,cpu,12,64,3,212.24,300.69,26.18,377.99,291.8,317.39,327.38,363.88,12748,0,0,0,0,0
main,cpu,12,64,4,212.22,300.69,26.17,385.54,294.08,317.04,329.65,364.65,12754,0,0,0,0,0
main,cpu,12,64,5,212.19,300.69,26.24,384.33,293.06,317.43,328.27,363.55,12747,0,0,0,0,0
main,cpu,16,8,1,181.35,44.1,15.94,109.39,41.03,54.03,65.2,93.27,10894,0,0,0,0,0
main,cpu,16,8,2,180.85,44.24,15.94,113.04,41.25,54.59,65.33,92.36,10862,0,0,0,0,0
main,cpu,16,8,3,180.83,44.24,15.82,116.85,41.16,54.63,65.22,91.69,10863,0,0,0,0,0
main,cpu,16,8,4,180.92,44.18,15.84,109.77,41.29,54.48,65.56,90.45,10869,0,0,0,0,0
main,cpu,16,8,5,180.75,44.26,15.95,114.29,41.09,54.59,65.45,91.92,10849,0,0,0,0,0
main,cpu,16,64,1,212.07,300.88,16.78,372.01,297.82,303.74,315.18,347.6,12746,0,0,0,0,0
main,cpu,16,64,2,212.13,300.8,16.79,377.88,297.96,303.19,312.57,348.64,12741,0,0,0,0,0
main,cpu,16,64,3,212.16,300.78,17.32,372.59,297.57,303.05,312.61,353.04,12742,0,0,0,0,0
main,cpu,16,64,4,212.19,300.78,17.05,378.96,297.71,303.75,314.03,349.93,12750,0,0,0,0,0
main,cpu,16,64,5,212.14,300.8,16.85,378.45,297.68,303.52,314.7,348.64,12749,0,0,0,0,0
main,cpu,24,8,1,168.97,47.65,20.73,156.42,43.3,60.11,74.52,110.41,10155,0,0,0,0,0
main,cpu,24,8,2,171.63,46.94,20.34,151.66,42.06,58.72,73.61,111.13,10306,0,0,0,0,0
